part	c1	c2	c3	c4
4503	3.74	5.95	9.93	7.82
4504	4.69	6.24	10.25	8.14
4505	3.86	5.66	10.44	8.56
4506	4.32	6.03	10.16	8.75
4507	4.09	4.82	9.82	7.84
4508	4.88	7.01	10.19	8.66
4509	3.87	4.98	9.9	8.12
4510	3.67	5.25	9.93	7.75
4511	4.1	5.32	9.88	8.1
4512	4.06	4.69	9.88	7.43
4513	4	6.09	10.09	8.64
4514	3.71	5.53	10.11	8.42
4515	4.64	5.73	10.24	8.03
4516	4.19	5.92	10.14	8.02
4517	4.12	4.92	10.15	8.63
4518	4.14	5.55	10.21	8.05
4519	4.02	6.06	9.98	7.2
4520	4.11	4.97	10.08	8.49
4521	4.86	5.4	10.14	7.97
4522	4.27	5.78	10.14	8.15
4523	4.14	5.19	9.99	8.04
4524	4.73	6.18	10.61	8.36
4525	4.11	5.44	10.14	8.58
4526	3.48	5.65	9.75	7.47
4527	4.54	5	9.98	8.08
4528	3.81	5.44	9.97	7.39
4529	3.68	5.02	9.94	7.62
4530	3.98	5.69	10.06	7.85
4531	3.25	4.03	9.91	7.09
4532	4.63	5.83	10.28	9.03
4533	3.68	5.88	10.15	7.97
4534	3.98	5.9	9.91	8.01
4535	4.11	5.26	9.87	8.12
4536	4.08	5.1	9.91	7.92
4537	4.63	6.31	10.08	8.2
4538	3.18	5.01	9.77	8.02
4539	3.53	5.49	9.96	8.62
4540	3.78	5.36	9.87	8.02
4541	4.27	5.55	10.1	8.18
4542	3.88	5.65	10.1	7.38
4543	4.29	6.11	9.9	8.06
4544	4.33	5.47	9.87	8.64
4545	4.72	5.72	10.26	7.85
4546	3.94	5.41	9.87	7.69
4547	4.77	6.56	10.34	8.49
4548	3.43	5.51	9.83	7.82
4549	4.01	5.22	9.98	7.81
4550	4.1	5.41	10.25	8.61
4551	4.22	5.02	10.05	7.47
4552	4.29	5.71	10.21	7.97
4553	3.56	5.66	10.17	8.45
4554	4.38	5.43	10.25	8.23
4555	5.05	5.91	10.38	8.62
4556	4.1	4.58	9.94	7.53
4557	3.54	5.59	9.67	7.4
4558	3.78	4.35	10.06	7.61
4559	3.26	6.29	9.89	8.48
4560	4.07	5.56	10.05	8.34
4561	3.2	5.31	9.76	8.11
4562	4.28	5.36	9.93	8.17
4563	4.69	5.89	10.08	8.43
4564	3.84	6.01	10.07	8.79
4565	3.51	5.41	9.94	7.61
4566	3.67	5.46	10.08	7.86
4567	4.06	6	9.83	8.13
4568	3.83	5.92	10.02	7.79
4569	4.06	5.63	10.05	8.77
4570	3.79	5.85	10.03	8.39
4571	4.34	5.22	10.21	8.49
4572	4.31	5.5	10.04	8.62
4573	3.3	6.07	9.97	7.7
4574	4.43	6.03	10.25	7.8
4575	4.32	4.88	9.87	7.52
4576	4.06	4.56	9.51	7.81
4577	3.47	5.62	10.18	7.83
4578	3.82	5.22	9.73	7.43
4579	3.82	4.91	10.12	8.54
4580	3.98	5.51	10.09	7.56
4581	4.2	5.61	10.05	8.63
4582	3.43	6.39	10.15	7.51
4583	3.23	4.39	10.04	7.55
4584	3.74	5.2	9.83	7.3
4585	4.31	6.27	10.31	8.11
4586	3.98	5.89	9.83	7.53
4587	4.11	4.67	9.86	7.21
4588	3.38	4.65	10.01	7.86
4589	3.95	5.26	10.07	8.16
4590	3.66	5.26	10.14	7.72
4591	4.56	5.89	10.21	8.21
4592	3.19	4.67	9.6	6.91
4593	4.18	5.13	10.06	7.91
4594	4.07	5.96	10.02	7.95
4595	4.06	5.49	10.1	8.01
4596	4.26	5.69	9.9	8.73
4597	3.42	4.99	10.18	7.79
4598	5.11	5.79	10.25	8.22
4599	4.26	5.62	9.96	7.77
4600	4.22	5.9	10.14	8.54
4601	3.6	5.8	10.19	8.18
4602	4.33	5.46	9.95	8.21
4603	4.61	5.66	10.34	8.4
4604	3.58	5.02	9.85	8.42
4605	4.74	6.41	10.32	8.37
4606	4.63	6.57	10.3	8.41
4607	4.4	5.32	9.78	7.85
4608	3.84	5.37	9.85	7.63
4609	3.78	6.35	10.16	8.09
4610	4.02	4.61	10.02	8
4611	3.62	5.23	10.09	8.21
4612	3.66	5.55	9.88	8
4613	4.55	5.83	10.26	8.56
4614	4.4	6.2	10.01	8.46
4615	4.49	5.99	10	8.37
4616	3.47	5.01	9.6	7.36
4617	4.09	4.92	10.09	8.22
4618	4.42	5.34	9.97	7.75
4619	3.4	4.59	9.49	7.38
4620	3.24	4.47	9.84	6.97
4621	4.17	5.02	10.05	8.06
4622	3.99	5.47	10.06	7.79
4623	4.11	5.33	10.02	8
4624	4.28	5.96	10.07	7.52
4625	3.29	4.83	9.93	6.84
4626	4.12	5.87	9.93	7.6
4627	3.64	4.88	9.81	7.71
4628	4.06	6.02	9.98	8.49
4629	3.57	4.87	9.71	7.03
4630	3.21	4.62	9.6	7.26
4631	3.53	6.02	10.04	8.56
4632	3.79	5.56	9.89	7.46
4633	3.48	5.83	9.86	8.11
4634	3.53	4.93	9.75	7.64
4635	4.5	6.1	10	7.93
4636	3.64	4.88	9.84	7.35
4637	3.45	4.89	9.94	7.64
4638	3.71	4.46	9.62	7.39
4639	3.99	5.21	10.06	8.49
4640	3.83	5.62	10.11	8.09
4641	3.89	5.89	10.18	7.58
4642	4.9	6.57	10.47	8.16
4643	4.38	6.08	10.02	8.61
4644	4.02	6.27	9.99	8.21
4645	3.97	5.09	10.13	8.52
4646	4.23	4.87	9.94	7.51
4647	4.3	5.73	10.08	7.77
4648	3.92	5.62	9.72	7.8
4649	4.28	5.63	10.08	7.61
4650	3.22	5.29	9.74	6.85
4651	4.17	6.17	10.02	8.26
4652	3.37	4.76	9.58	6.9
4653	4.12	5.5	10.03	8.63
4654	3.59	5.58	9.98	7.58
4655	3.63	5.88	9.87	8.14
4656	3.81	5.83	10.22	8.41
4657	4.52	5.86	9.99	8.31
4658	4.51	6.17	9.91	8.15
4659	3.64	4.9	9.79	7.97
4660	4.46	5.34	9.94	8.55
4661	3.9	5.05	9.69	7.34
4662	3.97	4.16	9.68	7.4
4663	3.63	4.91	9.63	7.98
4664	4.2	5.31	10.1	8.31
4665	3.87	5.37	9.93	7.95
4666	4.39	5.69	10.29	8.81
4667	3.39	4.88	9.82	8.09
4668	3.36	5.08	9.54	7.56
4669	3.56	5.91	10.08	8.02
4670	3.35	5.25	9.64	7.33
4671	3.86	4.97	9.99	7.9
4672	3.95	5.53	10.01	7.73
4673	3.66	5.44	9.79	7.77
4674	3.79	5.42	10.19	8.27
4675	4.4	5.88	10.13	8.49
4676	4.46	5.67	9.95	8.09
4677	4.97	5.64	9.96	8.17
4678	4	5.18	9.91	7.85
4679	4.8	5.6	9.78	7.99
4680	3.68	5.29	10.19	7.43
4681	3.1	5.35	9.82	7.52
4682	4.27	5.54	10.15	7.74
4683	3.79	4.65	9.92	7.79
4684	4.49	5.85	9.82	8.05
4685	3.79	5.46	9.86	7.71
4686	3.95	4.8	10.02	7.81
4687	3.98	5.39	10.01	8.16
4688	4.35	5.2	9.93	8.09
4689	4.76	6.6	10.27	8.44
4690	4.46	5.49	10.31	7.88
4691	4.06	5.35	10.36	8.23
4692	3.73	5.25	9.93	7.79
4693	4.3	5.48	10.2	7.92
4694	4.3	5.81	9.96	8.46
4695	4.21	5.01	10.01	7.89
4696	4.69	5.91	10.24	8.72
4697	3.37	5.28	9.9	8.07
4698	4.38	5.98	9.94	8.02
4699	4.06	6.13	9.96	7.48
4700	4.22	4.93	9.92	7.98
4701	4.13	5.49	9.79	7.75
4702	3.48	5.58	10.02	7.61
4703	4.12	5.8	10.04	8.55
4704	3.81	5.28	9.8	7.2
4705	4.19	6.26	10.13	8.68
4706	3.63	4.88	9.88	7.11
4707	3.31	5.21	9.82	7.22
4708	3.84	5.42	10.06	8.18
4709	3.82	5	9.91	7.58
4710	3.99	5.04	9.85	7.64
4711	4.37	5.84	10	8.31
4712	NA	5.51	9.88	7.08
4713	3.38	5.28	9.89	7.67
4714	4.03	5.07	10.11	7.99
4715	4.2	5.39	10	7.47
4716	4.46	5.97	10.12	8.03
4717	3.73	5.45	10.11	7.71
4718	3.88	5.48	9.64	7.66
4719	3.98	5.36	9.89	7.96
4720	3.98	6.07	9.81	7.6
4721	4.5	6.54	10.31	8.81
4722	4.01	5.66	10.07	7.63
4723	3.98	4.58	10.19	8.01
4724	3.75	5.53	10.15	8.27
4725	3.76	5.38	9.84	7.91
4726	4.14	6.03	10.04	8.02
4727	4.12	5.7	10.09	8.05
4728	4.2	5.83	10.1	8.87
4729	3.78	5.26	10.05	7.62
4730	4.3	6.1	10.27	8.93
4731	4.15	5.41	9.94	7.75
4732	4.35	5.58	10.18	8.77
4733	3.94	5.58	10.01	8.89
4734	3.41	5.31	10.26	7.98
4735	3.98	6.65	10.13	8.03
4736	3.5	5.19	9.86	7.66
4737	3.75	5.06	9.94	8.09
4738	3.92	5.13	9.98	7.92
4739	4.2	5.36	9.79	7.45
4740	4.46	6	10.01	8.04
4741	4.47	5.8	9.97	7.36
4742	3.84	5.1	10.12	7.86
4743	4.2	5.49	9.86	7.88
4744	3.95	5.98	9.96	8.05
4745	4.79	6.06	10.01	7.93
4746	4.01	5.43	10.1	8.19
4747	4.38	5.63	10.09	8.72
4748	4.33	5.09	9.94	7.46
4749	3.79	5.41	10.07	8.41
4750	4.28	4.79	9.83	8.08
4751	4.27	5.97	10.01	8.29
4752	3.47	5.22	10.14	7.69
4753	4.4	6.12	9.65	7.32
4754	3.46	5.21	9.87	8.27
4755	3.72	4.59	9.92	7.5
4756	4.2	6	10.28	8.74
4757	3.88	5.6	10	8.01
4758	3.3	5.3	9.64	7.92
4759	NA	5.05	9.96	8.25
4760	4.22	5.43	10.01	7.64
4761	4.18	6.03	10.51	8.16
4762	3.55	4.92	9.89	7.67
4763	3.83	5.51	9.73	8.37
4764	3.96	5.18	9.94	7.6
4765	4.32	5.47	10.06	7.96
4766	4.22	5.95	10.06	7.48
4767	4.14	5.77	10.47	8.7
4768	4.37	5.92	9.89	8.08
4769	3.98	5.39	9.87	7.2
4770	3.98	5.35	10.12	7.5
4771	4.4	5.93	10.07	7.99
4772	4.35	5.54	10.06	8.06
4773	3.95	4.94	9.74	8.12
4774	3.84	5.94	10.12	8.18
4775	3.57	5.46	9.79	7.75
4776	3.87	5.16	10.05	7.78
4777	4.1	4.95	9.86	8.16
4778	3.95	5.59	9.77	8.14
4779	4.5	5.78	10.11	8.33
4780	4.2	6.11	10.15	8.83
4781	4.05	4.52	9.95	7.54
4782	4.16	5.09	9.7	7.73
4783	3.42	5.22	10.05	7.59
4784	4.44	5.88	10.25	8.69
4785	3.78	5.62	10.06	8.06
4786	4.44	5.5	9.92	7.62
4787	4.05	5.53	10.03	8.05
4788	4.17	5.51	10.06	7.32
4789	3.87	5.33	10.09	7.63
4790	4.19	5.06	10.2	7.83
4791	4.21	6.22	10.38	8.17
4792	3.98	5.8	10.17	8.64
4793	4.89	6.31	10.14	7.98
4794	3.58	5.3	10.17	7.66
4795	4.11	5.09	9.95	7.68
4796	3.98	4.36	9.75	7.31
4797	3.58	4.75	9.92	7.84
4798	4.29	5.96	10.16	7.79
4799	3.78	4.94	9.79	6.93
4800	4.15	5.82	10.02	8.24
4801	4.14	4.88	9.88	7.99
4802	4.22	5.85	10.06	7.86
4803	4.35	5.72	10.12	8.4
4804	4.45	4.99	10.21	8.02
4805	4.51	5.43	9.88	7.9
4806	4.28	5.68	10.34	8.04
4807	3.82	5.28	9.86	7.89
4808	3.96	4.88	10.05	7.77
4809	3.94	5.52	9.8	7.75
4810	3.76	5.01	9.72	6.43
4811	4.13	5.96	10.09	8.21
4812	4.07	5.6	10.06	8.25
4813	4.38	5.56	10.25	9.21
4814	4.09	5.46	9.7	7.36
4815	4.43	6.12	10.15	8.33
4816	4.13	5.33	9.98	8.37
4817	4.37	6.88	10.15	8.98
4818	3.56	5.02	10.04	7.78
4819	4.24	5.43	9.9	8.35
4820	3.92	5.77	10.05	8.78
4821	3.56	5.4	9.87	7.44
4822	3.91	6.02	10.13	7.96
4823	3.68	5.02	9.81	8.23
4824	5.07	6.3	9.93	8.52
4825	4.67	6.44	10.41	8.82
4826	3.97	6.09	10.1	8.62
4827	2.93	4.5	9.62	6.5
4828	4.24	5.14	9.9	8.07
4829	4.16	5.2	9.78	8.19
4830	3.73	5	10.09	8.19
4831	3.8	5.27	9.79	7.58
4832	4.18	5.87	10.33	9.02
4833	4.29	6.3	10.13	8.08
4834	4.32	5.87	10.13	8.15
4835	4.87	6.59	10.17	8.43
4836	3.83	5.07	9.76	8.01
4837	3.53	4.65	9.69	6.99
4838	4.01	5.05	9.86	7.95
4839	3.69	5.65	10.34	8.33
4840	3.79	4.69	9.87	8.52
4841	3.7	4.86	10.07	7.55
4842	4.15	5.77	10	8.35
4843	3.94	6.17	10.19	8.05
4844	3.67	5.29	9.93	7.46
4845	4.28	6.88	10.19	8.9
4846	3.79	5.5	10.05	8.45
4847	3.09	5.19	9.6	7.24
4848	4.16	5.84	10.21	8.41
4849	3.57	5.03	9.72	7.84
4850	3.95	5.04	9.87	7.42
4851	3.92	4.78	10.13	7.4
4852	3.92	4.83	9.95	7.53
4853	3.84	5.64	10	8.46
4854	3.56	5.67	9.45	7.89
4855	4.38	5.44	9.93	8.33
4856	4.32	5.66	10.26	8.36
4857	3.56	6.16	10.1	7.96
4858	4.05	5.95	10.25	8.86
4859	3.88	4.73	10.05	8.08
4860	3.73	6.36	10.22	8.1
4861	3.78	5.53	9.89	8.31
4862	3.97	5.82	10	7.89
4863	3.34	4.79	9.98	7.89
4864	3.47	4.48	9.79	7.28
4865	3.94	5.17	10.11	8.05
4866	4.26	6.49	10.19	8.62
4867	3.7	5.38	9.97	7.55
4868	4.22	5.87	10.05	8.65
4869	3.8	5.63	10.18	8.46
4870	3.54	4.55	10.09	8.04
4871	4.19	5.12	10	8.3
4872	5.06	6.25	10.26	8.03
4873	3.64	5.17	9.81	8.44
4874	4.65	5.29	10.06	8.08
4875	4.58	5.66	10.32	8.36
4876	3.71	5.41	9.96	7.82
4877	3.96	6	10.2	8.92
4878	3.8	5.62	10.1	8.72
4879	3.85	6.35	10.09	8.23
4880	4	5.63	9.85	8.08
4881	3.66	5.53	9.84	7.79
4882	5.13	6.1	10.06	8.72
4883	4.72	5.69	10.28	9.02
4884	3.72	4.8	9.93	7.5
4885	4.27	5.67	9.92	7.81
4886	3.99	5.96	10.03	7.66
4887	3.59	4.57	9.92	7.21
4888	4.43	5.56	9.98	7.76
4889	3.46	4.85	9.56	7.76
4890	4.4	5.68	10.17	6.82
4891	4.76	6	10.18	9.05
4892	3.08	4.42	9.75	8.23
4893	3.73	5.28	9.96	7.44
4894	4.25	5.81	10.07	8
4895	3.11	4.57	9.84	6.47
4896	3.64	5.66	9.97	7.84
4897	4.31	5.72	10.05	7.68
4898	3.57	5.85	10.06	8.48
4899	3.61	5.29	9.93	8.34
4900	4.52	5.91	10.27	8.02
4901	3.99	4.98	10	7.82
4902	4.45	5.82	9.87	8.4
4903	4.16	5.38	9.88	8.34
4904	3.93	5.33	10.23	7.91
4905	4.44	5.84	10.03	7.93
4906	3.89	5.51	9.97	7.86
4907	4.42	5.28	10.45	8.51
4908	3.97	4.99	9.81	8.5
4909	3.99	5.41	10.04	7.81
4910	4.19	6.21	10.28	7.82
4911	3.89	5.49	9.89	8.76
4912	3.98	5.75	10.08	8.36
4913	4.02	5.11	9.81	7.91
4914	4.35	5.33	9.84	8.43
4915	NA	4.68	9.98	8.64
4916	4.85	6.41	10.48	8.63
4917	3.85	5.3	9.95	7.71
4918	3.7	5.25	10.02	8.26
4919	3.47	4.68	9.72	8.12
4920	4.57	5.35	10.15	7.87
4921	4.18	6.25	10.26	8.67
4922	4.28	5.53	10.02	7.64
4923	3.24	5.14	9.83	8.19
4924	3.43	4.8	9.67	8.41
4925	3.44	5.17	9.71	7.35
4926	3.58	5.57	9.85	8.31
4927	4.4	4.92	9.79	7.29
4928	4.04	5.22	9.93	7.54
4929	4.15	5.68	9.87	8.63
4930	3.77	5.13	9.95	7.95
4931	3.97	5.21	10.09	8.17
4932	4.26	5.42	10.06	7.8
4933	3.84	5.57	10.16	7.83
4934	4.01	5.27	9.94	7.74
4935	4.52	6.23	10.32	9.03
4936	3.97	4.93	9.94	7.79
4937	3.7	4.98	10.11	8.24
4938	4.21	5.5	10.21	7.9
4939	4.07	5.26	9.9	7.79
4940	3.47	5.12	9.85	7.31
4941	4.11	6.16	10	8.42
4942	4.4	5.67	9.83	7.15
4943	3.86	5.57	9.89	7.82
4944	3.68	5.16	9.97	7.26
4945	3.84	5.12	10.07	7.78
4946	3.92	5.4	9.9	8.16
4947	4.31	6.04	10.08	8.59
4948	4.38	5.97	10.37	7.97
4949	3.32	5.31	9.76	7.24
4950	4.45	6.33	10.3	9.05
4951	3.97	5.32	9.83	7.69
4952	4.05	5.38	10.06	7.9
4953	3.78	4.86	9.68	7.4
4954	4.48	5.28	9.97	7.96
4955	4.33	5.87	10.08	8.05
4956	4.36	6.49	10.1	8.37
4957	3.38	4.67	9.7	7.4
4958	3.76	5.52	9.93	7.95
4959	4.07	5.69	10.16	8.3
4960	3.86	5.27	9.89	7.51
4961	4.88	5.26	9.84	7.91
4962	3.84	5.42	10.46	8.06
4963	4.24	6.22	10.08	7.87
4964	3.68	5.35	10.13	7.9
4965	3.68	5.19	9.81	7.11
4966	3.93	5.81	9.89	7.65
4967	3.53	6.1	10.33	8.27
4968	4.11	5.61	9.93	8.12
4969	4.71	6.73	10.31	8.93
4970	4.22	6.52	10.06	7.98
4971	3.98	4.98	9.88	7.64
4972	3.79	4.96	10.15	7.71
4973	3.93	5.99	10.1	7.82
4974	3.8	5.56	9.7	7.91
4975	4.01	6.33	10.17	8.31
4976	4.25	5.05	10.23	7.83
4977	4.39	5.83	10.26	9.16
4978	4.62	5.48	10.14	8.58
4979	3.79	5.25	10.13	8
4980	4.54	5.36	10.11	8.5
4981	3.63	4.38	9.87	7.26
4982	4.01	4.77	10.29	8.11
4983	4.18	6.21	10.3	8.47
4984	3.54	5.16	9.8	7.31
4985	3.95	4.28	9.87	7.54
4986	3.95	5.89	10.21	8.94
4987	3.74	4.92	9.96	8.29
4988	4.39	5.36	9.83	7.76
4989	3.73	5.29	9.98	7.32
4990	3.97	6.44	10.13	8.29
4991	4.59	5.82	9.82	7.77
4992	3.78	5.98	10.04	8.54
4993	4.13	5.41	10.04	8.24
4994	3.94	5.25	10.08	7.84
4995	3.98	5.59	9.88	8.06
4996	4.27	5.26	9.87	8.74
4997	4.2	6.41	10.27	8.65
4998	4.26	5.36	10.36	8.61
4999	3.65	5.31	10.04	7.84
5000	3.56	5.32	9.97	7.89
5001	4.3	5.66	10.32	8.6
5002	4.12	5.72	10.41	8.48
5003	3.91	6.44	10.25	8.47
5004	4.19	6.15	9.88	8
5005	3.74	5.47	10.1	7.85
5006	4.32	5.25	9.81	8.43
5007	4.04	5.86	10.08	8.35
5008	4.14	5.95	10.19	8.21
5009	3.58	5.29	10.02	8.24
5010	3.99	5.43	9.9	7.87
5011	3.94	5	10.05	8.2
5012	3.75	5.37	10.23	8.6
5013	4.64	5.32	10.09	8.93
5014	4.68	5.3	9.89	8.04
5015	3.8	5.46	10.05	7.46
5016	4.37	4.75	10	8.97
5017	4.48	6.1	10.23	8.61
5018	3.33	4.62	9.65	7.08
5019	3.65	5.48	10.06	7.8
5020	4.15	5.56	9.95	7.78
5021	4.44	5.36	10.2	7.73
5022	3.94	5.25	10	8.55
5023	4.08	5.88	10.35	8.36
5024	4.15	5.56	10.07	8.02
5025	4.3	6.32	10.09	9.07
5026	3.97	6.12	9.92	8.03
5027	4.1	5.98	10.25	8.24
5028	3.64	5.8	9.95	7.17
5029	3.56	5.72	9.86	8.02
5030	4.01	4.92	10.05	8.4
5031	3.36	5.47	9.9	7.74
5032	3.62	5.09	9.84	7.95
5033	4.57	5.61	10.02	8.14
5034	4.3	5.18	9.96	8.02
5035	3.71	5.49	10.2	7.74
5036	3.94	5.25	10.07	7.53
5037	4.08	6.23	10.08	8.7
5038	3.38	4.59	9.92	7.71
5039	4.61	5.56	10.11	8.07
5040	3.97	5.89	10.01	8.42
5041	3.32	5.91	9.78	8.21
5042	4.31	5.52	10.09	8.34
5043	4.17	5.72	10.32	8
5044	4.23	6.3	10.03	9.12
5045	4.01	5.46	10.04	7.36
5046	3.66	5.03	9.9	8.09
5047	4.12	6.02	10.32	8.2
5048	3.88	6.12	10.16	8.29
5049	4.69	6.33	10.45	8.3
5050	3.98	4.62	9.88	7.57
5051	4.86	6.71	10.36	8.72
5052	4.32	4.79	10.18	8.46
5053	3.98	5.5	10.22	7.91
5054	4.41	5.96	10.12	8.59
5055	3.67	4.67	9.56	7.62
5056	4.06	5.72	10.07	7.61
5057	3.68	5.67	9.82	8.49
5058	3.76	5	9.81	7.74
5059	3.97	5.69	9.88	8.1
5060	3.71	5.28	10	7.96
5061	3.64	4.53	9.88	7.96
5062	3.33	5.11	9.76	7.35
5063	3.91	5.08	10.25	7.98
5064	4.06	5.92	10.12	8.34
5065	4.12	5.52	10.13	8.86
5066	4.2	5.83	9.86	8.08
5067	4.52	4.81	9.83	8.11
5068	3.34	4.88	10.27	8.46
5069	3.86	5.44	9.9	7.94
5070	3.66	5.91	9.78	8.1
5071	4.17	5.55	10.05	8.75
5072	4.2	4.88	10.11	8.58
5073	4.22	5.31	10.24	7.54
5074	3.68	4.89	9.95	7.72
5075	3.68	5.5	9.77	7.76
5076	4.23	5.34	9.96	8.05
5077	3.8	4.91	9.97	7.53
5078	3.71	4.8	9.63	7.72
5079	4.25	6.36	10.25	8.04
5080	3.38	5.29	9.98	7.47
5081	4.33	5.87	NA	8.51
5082	4.24	4.64	10	7.35
5083	3.73	4.95	9.97	7.93
5084	3.46	5.04	10.01	7.9
5085	4	5.97	10	8.43
5086	3.9	5.31	9.84	7.99
5087	4.25	5.19	10.26	8.43
5088	4.06	4.67	9.77	8.4
5089	3.93	5.26	9.99	7.97
5090	4.67	6.15	10.15	7.77
5091	3.49	4.88	9.96	7.32
5092	3.71	5.63	9.99	7.75
5093	4.13	5.58	10.06	7.64
5094	3.84	6.04	10.1	8.12
5095	4.5	6.73	10.15	9.09
5096	4.08	6.21	10.03	8.76
5097	3.4	5.34	9.93	7.66
5098	3.7	4.91	10.17	8.49
5099	4.29	6.35	10.04	7.4
5100	3.76	5.6	10.11	8.55
5101	3.43	4.97	9.86	7.89
5102	4.05	5.57	9.94	7.36
5103	3.8	5.11	9.94	7.13
5104	4.14	5.99	9.99	8.62
5105	3.49	4.83	9.7	7.56
5106	3.75	5.59	10.01	8.11
5107	3.68	5.47	10.12	8.77
5108	4.33	5.95	10.23	8.56
5109	3.98	6.15	9.79	8.18
5110	3.38	5.26	9.96	7.45
5111	4.48	5.68	10.19	8.3
5112	4.13	5.03	9.99	7.91
5113	3.86	5.32	10.1	8.32
5114	4.04	5.67	10.05	8.1
5115	4.44	6.53	9.83	8.67
5116	4.04	5.88	10.11	7.24
5117	4.24	5.26	10	7.88
5118	3.84	5.7	9.91	8.09
5119	4.23	5.81	9.98	8
5120	3.79	5.2	10.06	7.95
5121	4.07	5.45	9.9	7.54
5122	4.18	5.77	10.2	7.97
5123	4.35	6.01	10.09	8.55
5124	3.87	5.53	10.18	7.61
5125	3.65	5.61	9.83	7.94
5126	4.27	5.67	10.2	8.44
5127	3.73	6.07	10.15	7.43
5128	4.87	6.14	10.37	9.1
5129	4.54	5.57	10.26	8.63
5130	3.81	5.61	10.15	8.22
5131	4.74	6.35	10.31	8.47
5132	3.98	5.7	10.18	8.31
5133	4.16	5.32	10.05	7.99
5134	4.35	5.17	10.25	7.77
5135	3.86	5.32	10.2	8.75
5136	3.91	5.41	10.21	7.98
5137	4.44	6.19	10.13	8.09
5138	3.54	4.9	9.68	7.84
5139	4.23	5.66	10.17	7.73
5140	3.9	5.58	10.36	8.44
5141	4.25	6.01	10.25	8.4
5142	3.93	5.69	10.03	8.22
5143	4.54	6.07	10.22	8.07
5144	4.62	5.61	10.42	8.77
5145	4.53	5.8	10.34	8.9
5146	4.63	5.2	9.98	7.61
5147	4.7	6.74	10.24	8.95
5148	4.43	6.05	10.33	8.12
5149	5.1	6.39	10.15	8.98
5150	4.28	NA	9.91	7.74
5151	4.15	5.67	9.98	7.94
5152	4.61	5.48	9.89	7.98
5153	4.21	5.2	10.08	8.05
5154	3.59	4.43	10.03	8.2
5155	4.46	6.18	10.03	8.44
5156	4.27	5.3	10.21	8.27
5157	3.87	5.5	10.03	8.12
5158	3.9	5.29	10.03	8.79
5159	4.38	6.27	10.33	9.03
5160	3.31	5.38	9.97	7.61
5161	3.53	5.62	10.02	8.43
5162	4.82	6.03	10.49	8.85
5163	3.84	5.42	9.75	7.49
5164	4.19	5.22	9.89	7.96
5165	4.32	5.78	9.85	8.18
5166	4.03	5.43	9.97	7.61
5167	3.74	5.46	9.98	7.85
5168	4.33	5.68	9.95	8.1
5169	4.33	5.57	10.02	8.26
5170	3.85	5.43	9.93	7.87
5171	3.85	5.13	9.87	7.73
5172	4.11	5.26	9.95	7.67
5173	3.94	4.19	9.83	7.19
5174	3.9	5.61	9.7	7.6
5175	4	6.21	10.11	8.29
5176	4.15	5.76	10.11	8.73
5177	3.58	4.71	9.85	7.96
5178	4.22	5	9.95	7.2
5179	3.41	5.14	9.81	7.85
5180	3.55	4.57	9.9	7.68
5181	3.73	5.44	9.8	7.59
5182	3.97	5.71	10.11	7.58
5183	3.57	5.14	9.9	7.5
5184	4.64	6.58	10.3	8.37
5185	4.2	5.02	9.85	7.85
5186	4.54	5.48	9.84	7.69
5187	3.21	5.84	10.02	7.86
5188	4.13	5.07	9.6	8.48
5189	3.38	4.48	9.89	7.31
5190	4.11	5.73	10.21	8.77
5191	3.77	4.98	10.05	7.69
5192	4.3	5.28	10.24	8.51
5193	4.25	5.77	10.42	8.25
5194	4.17	5.42	10.04	7.64
5195	4.91	6.19	10.14	8.46
5196	4.41	5.92	10	7.95
5197	4.05	5.03	10.13	7.84
5198	3.7	5.51	10.03	8.41
5199	4.13	5.37	9.7	8.24
5200	4.16	5.24	10.18	7.08
5201	4.55	5.65	10.38	7.62
5202	2.81	5.34	9.95	7.56
5203	4.18	6.52	10.17	8.11
5204	3.83	4.86	9.8	8
5205	3.95	5.01	9.77	8.04
5206	4.42	5.97	10.17	8.05
5207	4.46	5.26	10.3	8.05
5208	4.27	5.97	10.02	7.65
5209	4.02	5.74	10.12	8
5210	3.8	4.99	9.95	7.75
5211	3.71	5.34	10.2	8.13
5212	3.79	5.4	9.82	7.46
5213	4.14	5.17	10.12	7.59
5214	4.64	5.62	10.19	8.18
5215	4.5	5.8	10.35	8.33
5216	4.22	5.48	10.1	7.54
5217	4.3	5.73	10.33	8.66
5218	4.24	5.21	9.95	7.76
5219	4.31	6.11	9.97	8.1
5220	3.47	3.89	9.69	6.38
5221	4.52	5.66	10.12	8.47
5222	3.51	4.75	9.88	7.57
5223	3.68	5.75	10.04	8.03
5224	4.01	5.09	9.8	7.58
5225	3.83	5.07	9.96	8.57
5226	3.47	5.49	9.92	7.86
5227	3.8	5.5	9.99	7.19
5228	4.19	5.35	9.74	7.53
5229	4.35	5.68	10.15	7.53
5230	4.34	5.65	10.12	8.92
5231	4.18	6.01	10.22	8.8
5232	3.86	5.97	9.69	7.82
5233	4.41	5.55	9.92	7.47
5234	3.87	4.96	9.96	8.07
5235	4.13	5.87	10.04	8.16
5236	4.72	6.67	10.27	8.6
5237	4.35	5.44	10.06	8.12
5238	3.7	4.96	9.93	7.44
5239	4.07	5.08	10.06	9.26
5240	3.89	5.32	10.21	7.92
5241	3.57	5.29	10.19	8.27
5242	4.16	5.63	10.25	8.6
5243	3.97	5.18	9.99	7.82
